COUNTRY,SHCODE56,OPEN6590,TROPICS,LIFE,ICRGE80,CGB7090,LGDPEA65,GEAP_POP,G7089N,SXP,GR6590,LIFE2,ACCESS,ETHLING
"        GERMANY, WEST",########,1.000000,0.000000,4.245634,9.588540,1.037294,9.413842,0.259623,1.926850,0.021815,2.371630,18.025408,0.000000,3.000000
               GREECE,########,1.000000,0.000000,4.242764,5.500000,-4.144974,8.447074,0.079401,1.983181,0.040868,3.172549,18.001051,0.000000,10.000000
              IRELAND,########,0.961538,0.000000,4.251348,8.322910,-2.852482,8.843189,0.248095,2.197079,0.154303,3.367081,18.073963,0.000000,4.000000
                ITALY,########,1.000000,0.000000,4.245634,8.195310,-3.768905,9.065149,0.183320,1.946514,0.020810,3.147108,18.025408,0.000000,4.000000
          NETHERLANDS,########,1.000000,0.000000,4.290460,9.812500,0.757475,9.382635,0.412279,2.127774,0.151270,2.267674,18.408043,0.000000,10.000000
               NORWAY,########,1.000000,0.000000,4.295924,9.598950,4.925145,9.304349,0.091727,2.017440,0.103172,3.054425,18.454964,0.000000,4.000000
             PORTUGAL,########,1.000000,0.000000,4.168214,7.738540,-2.559824,8.253055,0.203647,1.992739,0.047812,4.539148,17.374010,0.000000,1.000000
                SPAIN,########,1.000000,0.000000,4.242764,7.635410,0.881471,8.873818,0.170563,1.620404,0.029882,2.951991,18.001051,0.000000,44.000000
               SWEDEN,########,1.000000,0.000000,4.298645,9.648430,1.899838,9.557160,-0.127588,2.016545,0.050366,1.803098,18.478350,0.000000,8.000000
          SWITZERLAND,########,1.000000,0.000000,4.271095,9.984370,1.982822,9.744400,0.202406,2.201893,0.024670,1.567315,18.242254,1.000000,50.000000
               TURKEY,########,0.076923,0.000000,3.947390,5.263020,2.119850,8.118423,0.498597,-0.413206,0.037978,2.915092,15.581888,0.000000,25.000000
                 U.K.,########,1.000000,0.000000,4.262680,9.338540,0.899991,9.378650,0.034074,2.036591,0.026317,2.181695,18.170441,0.000000,32.000000
            AUSTRALIA,########,1.000000,0.100000,4.262680,9.429680,1.591890,9.565611,0.316008,4.745633,0.099832,1.974184,18.170441,0.000000,32.000000
          NEW ZEALAND,########,0.192308,0.000000,4.162003,9.648430,0.155151,9.632987,0.398096,,0.177480,0.965091,17.322269,0.000000,37.000000
